satellite,feature,mode,mdays,threshold,precision,recall,TP,FP,FN,f1,f2
Sentinel-3A,Brouwer mean motion,raw,5,0.0342,0.4851,0.7656,49,52,15,0.5939,0.6863
Sentinel-3A,Brouwer mean motion,raw,3,0.0342,0.4851,0.7656,49,52,15,0.5939,0.6863
Sentinel-3A,Brouwer mean motion,smoothed,3,0.0036,0.227,0.6562,42,143,22,0.3373,0.4762
Sentinel-3A,Brouwer mean motion,smoothed,5,0.006,0.5714,0.75,48,36,16,0.6486,0.7059
Sentinel-3A,mean anomaly,raw,3,0.0097,0.1475,0.6406,41,237,23,0.2398,0.3839
Sentinel-3A,mean anomaly,raw,5,0.0099,0.1513,0.6406,41,230,23,0.2448,0.389
Sentinel-3A,mean anomaly,smoothed,3,0.0012,0.0879,0.5,32,332,32,0.1495,0.2581
Sentinel-3A,mean anomaly,smoothed,5,0.0013,0.1347,0.7344,47,302,17,0.2276,0.3884
Sentinel-3A,eccentricity,raw,3,0.6245,0.0749,0.5469,35,432,29,0.1318,0.242
Sentinel-3A,eccentricity,raw,5,0.7682,0.0955,0.5,32,303,32,0.1604,0.2707
Sentinel-3A,eccentricity,smoothed,3,0.1345,0.0929,0.4531,29,283,35,0.1543,0.2553
Sentinel-3A,eccentricity,smoothed,5,0.1345,0.1058,0.5156,33,279,31,0.1755,0.2905
Fengyun-2F,Brouwer mean motion,raw,3,0.1876,0.4706,0.8358,56,63,11,0.6022,0.7235
Fengyun-2F,Brouwer mean motion,raw,5,0.1876,0.479,0.8507,57,62,10,0.6129,0.7364
Fengyun-2F,Brouwer mean motion,smoothed,3,0.024,0.3819,0.8209,55,89,12,0.5213,0.6675
Fengyun-2F,Brouwer mean motion,smoothed,5,0.024,0.3958,0.8507,57,87,10,0.5403,0.6917
Fengyun-2F,mean anomaly,raw,3,1.4731,0.0815,0.4478,30,338,37,0.1379,0.2358
Fengyun-2F,mean anomaly,raw,5,1.4731,0.106,0.5821,39,329,28,0.1793,0.3066
Fengyun-2F,mean anomaly,smoothed,3,0.1975,0.0785,0.5075,34,399,33,0.136,0.2425
Fengyun-2F,mean anomaly,smoothed,5,0.2334,0.1338,0.5373,36,233,31,0.2143,0.3352
Fengyun-2F,eccentricity,raw,3,19.2317,0.2137,0.7463,50,184,17,0.3322,0.498
Fengyun-2F,eccentricity,raw,5,18.7551,0.2176,0.7761,52,187,15,0.3399,0.5128
Fengyun-2F,eccentricity,smoothed,3,2.7077,0.1992,0.7463,50,201,17,0.3145,0.4817
Fengyun-2F,eccentricity,smoothed,5,2.7077,0.2112,0.791,53,198,14,0.3333,0.5106
Fengyun-2F,eccentricity,cleaned,3,19.5947,0.2717,0.7463,50,134,17,0.3984,0.5531
Fengyun-2F,eccentricity,cleaned,5,19.9263,0.2809,0.7463,50,128,17,0.4082,0.5605
Fengyun-4A,Brouwer mean motion,raw,3,0.0972,0.4079,0.6327,31,45,18,0.496,0.5699
Fengyun-4A,Brouwer mean motion,raw,5,0.0972,0.4605,0.7143,35,41,14,0.56,0.6434
Fengyun-4A,Brouwer mean motion,smoothed,3,0.0121,0.382,0.6939,34,55,15,0.4928,0.5965
Fengyun-4A,Brouwer mean motion,smoothed,5,0.0121,0.4045,0.7347,36,53,13,0.5217,0.6316
Fengyun-4A,mean anomaly,raw,3,1.3479,0.1191,0.6735,33,244,16,0.2025,0.3488
Fengyun-4A,mean anomaly,raw,5,1.679,0.2183,0.6327,31,111,18,0.3246,0.4586
Fengyun-4A,mean anomaly,smoothed,3,0.226,0.1405,0.5306,26,159,23,0.2222,0.3412
Fengyun-4A,mean anomaly,smoothed,5,0.2124,0.1689,0.7755,38,187,11,0.2774,0.4513
Fengyun-4A,eccentricity,raw,3,12.0997,0.2576,0.6939,34,98,15,0.3757,0.5183
Fengyun-4A,eccentricity,raw,5,12.815,0.3193,0.7755,38,81,11,0.4524,0.6032
Fengyun-4A,eccentricity,smoothed,3,2.125,0.2981,0.6327,31,73,18,0.4052,0.5167
Fengyun-4A,eccentricity,smoothed,5,2.1843,0.3469,0.6939,34,64,15,0.4626,0.5782
SARAL,Brouwer mean motion,raw,5,0.1642,0.4144,0.7419,46,65,16,0.5318,0.6407
SARAL,Brouwer mean motion,raw,3,0.1642,0.4144,0.7419,46,65,16,0.5318,0.6407
SARAL,Brouwer mean motion,smoothed,3,0.0211,0.3383,0.7258,45,88,17,0.4615,0.5906
SARAL,Brouwer mean motion,smoothed,5,0.0234,0.4107,0.7419,46,66,16,0.5287,0.6389
SARAL,mean anomaly,raw,3,0.0502,0.0994,0.5161,32,290,30,0.1667,0.2807
SARAL,mean anomaly,raw,5,0.0502,0.1056,0.5484,34,288,28,0.1771,0.2982
SARAL,mean anomaly,smoothed,3,0.0142,0.1477,0.3548,22,127,40,0.2085,0.2771
SARAL,mean anomaly,smoothed,5,0.0142,0.1544,0.371,23,126,39,0.218,0.2897
SARAL,eccentricity,raw,3,6.7586,0.1688,0.4355,27,133,35,0.2432,0.3309
SARAL,eccentricity,raw,5,6.7586,0.1938,0.5,31,129,31,0.2793,0.3799
SARAL,eccentricity,smoothed,5,0.9837,0.1772,0.4516,28,130,34,0.2545,0.3448
SARAL,eccentricity,smoothed,3,0.9837,0.1772,0.4516,28,130,34,0.2545,0.3448
Haiyang-2A,Brouwer mean motion,raw,3,0.0854,0.0858,0.5,29,309,29,0.1465,0.2544
Haiyang-2A,Brouwer mean motion,raw,5,0.0855,0.0923,0.5345,31,305,27,0.1574,0.2729
Haiyang-2A,Brouwer mean motion,smoothed,3,0.0148,0.0933,0.4828,28,272,30,0.1564,0.2632
Haiyang-2A,Brouwer mean motion,smoothed,5,0.0162,0.1061,0.4828,28,236,30,0.1739,0.2823
Haiyang-2A,mean anomaly,raw,3,0.0764,0.0351,0.6034,35,962,23,0.0664,0.1424
Haiyang-2A,mean anomaly,raw,5,0.133,0.0582,0.4828,28,453,30,0.1039,0.1964
Haiyang-2A,mean anomaly,smoothed,3,0.0174,0.0412,0.5,29,675,29,0.0761,0.1549
Haiyang-2A,mean anomaly,smoothed,5,0.0172,0.0519,0.6379,37,676,21,0.096,0.1958
Haiyang-2A,eccentricity,raw,3,8.91,0.0676,0.4828,28,386,30,0.1186,0.2167
Haiyang-2A,eccentricity,raw,5,12.2911,0.1076,0.4138,24,199,34,0.1708,0.2637
Haiyang-2A,eccentricity,smoothed,3,1.3506,0.0679,0.431,25,343,33,0.1174,0.2083
Haiyang-2A,eccentricity,smoothed,5,1.754,0.1111,0.4138,24,192,34,0.1752,0.2679
